drug1,drug2,enzyme_overlap,target_overlap,pathway_overlap,transporter_overlap,side_effect_overlap,interaction,risk_score,severity
Nimodipine,Apixaban,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.4522,MEDIUM
Glipizide,Zoledronic acid,None,None,None,None,None,0,0.0349,LOW
Protriptyline,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Metoprolol,Azithromycin,None,None,None,P-glycoprotein (P-gp),None,0,0.125,LOW
Gliclazide,Lopinavir,None,None,None,None,None,0,0.0116,LOW
Cimetidine,Metolazone,None,None,None,None,None,0,0.0653,LOW
Labetalol,Methylprednisolone,None,None,None,P-glycoprotein (P-gp),None,1,0.1196,LOW
Celecoxib,Eprosartan,CYP2C9,None,None,None,None,1,0.3881,MEDIUM
Ketoconazole,Alendronate,None,None,None,None,None,0,0.0448,LOW
Atorvastatin,Esomeprazole,CYP3A4,None,None,None,Headache,1,0.5818,HIGH
Esomeprazole,Telmisartan,CYP3A4,None,None,None,None,1,0.4142,MEDIUM
Voriconazole,Saxagliptin,None,None,None,P-glycoprotein (P-gp),None,0,0.1,LOW
Apixaban,Nortriptyline,None,None,None,P-glycoprotein (P-gp),None,0,0.105,LOW
Lansoprazole,Topiramate,CYP2C19;CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5805,HIGH
Nicardipine,Paliperidone,CYP3A4,None,None,P-glycoprotein (P-gp),None,1,0.5366,HIGH
Nizatidine,Albuterol,None,None,None,None,None,0,0.0251,LOW
Prazosin,Formoterol,None,None,None,None,None,0,0.0201,LOW
Moexipril,Betamethasone,None,None,None,None,None,0,0.0763,LOW
Nizatidine,Diazepam,None,None,None,None,None,0,0.0144,LOW
Nabumetone,Rivaroxaban,CYP2C9,None,None,None,None,1,0.439,MEDIUM
Fosinopril,Semaglutide,None,None,None,None,None,0,0.0745,LOW
Fluoxetine,Meloxicam,None,None,None,None,None,0,0.071,LOW
Salmeterol,Alogliptin,None,None,None,None,None,0,0.0286,LOW
Valsartan,Quetiapine,CYP3A4,None,None,None,None,1,0.4265,MEDIUM
Omeprazole,Gliclazide,None,None,None,None,None,0,0.0551,LOW
Enalapril,Ciprofloxacin,None,None,None,None,None,0,0.06,LOW
Pitavastatin,Fosinopril,None,None,None,None,None,0,0.078,LOW
Nebivolol,Moxifloxacin,None,None,None,None,None,0,0.0522,LOW
Captopril,Prazosin,None,None,None,None,None,0,0.0513,LOW
Diltiazem,Celecoxib,None,None,None,None,None,0,0.0576,LOW
Rabeprazole,Irbesartan,CYP3A4,None,None,None,None,1,0.3641,MEDIUM
Topiramate,Silodosin,CYP3A4,None,None,P-glycoprotein (P-gp),Dizziness,1,0.6717,HIGH
Ciprofloxacin,Fondaparinux,None,None,None,None,None,0,0.0382,LOW
Moexipril,Lopinavir,None,None,None,None,None,0,0.0218,LOW
Citalopram,Ritonavir,None,None,None,P-glycoprotein (P-gp),None,0,0.1049,LOW
Diltiazem,Clomipramine,None,None,None,P-glycoprotein (P-gp),None,0,0.1313,LOW
